ClaimDate,ClaimYear,ClaimMonth,ClaimDay,ClaimDayOfWeek,ClaimQuarter,ClaimDayOfWeekName
1/1/19,2019,1,1,3,1,Tuesday
1/2/19,2019,1,2,4,1,Wednesday
1/3/19,2019,1,3,5,1,Thursday
1/4/19,2019,1,4,6,1,Friday
1/5/19,2019,1,5,7,1,Saturday
1/6/19,2019,1,6,1,1,Sunday
1/7/19,2019,1,7,2,1,Monday
1/8/19,2019,1,8,3,1,Tuesday
1/9/19,2019,1,9,4,1,Wednesday
1/10/19,2019,1,10,5,1,Thursday
1/11/19,2019,1,11,6,1,Friday
1/12/19,2019,1,12,7,1,Saturday
1/13/19,2019,1,13,1,1,Sunday
1/14/19,2019,1,14,2,1,Monday
1/15/19,2019,1,15,3,1,Tuesday
1/16/19,2019,1,16,4,1,Wednesday
1/17/19,2019,1,17,5,1,Thursday
1/18/19,2019,1,18,6,1,Friday
1/19/19,2019,1,19,7,1,Saturday
1/20/19,2019,1,20,1,1,Sunday
1/21/19,2019,1,21,2,1,Monday
1/22/19,2019,1,22,3,1,Tuesday
1/23/19,2019,1,23,4,1,Wednesday
1/24/19,2019,1,24,5,1,Thursday
1/25/19,2019,1,25,6,1,Friday
1/26/19,2019,1,26,7,1,Saturday
1/27/19,2019,1,27,1,1,Sunday
1/28/19,2019,1,28,2,1,Monday
1/29/19,2019,1,29,3,1,Tuesday
1/30/19,2019,1,30,4,1,Wednesday
1/31/19,2019,1,31,5,1,Thursday
2/1/19,2019,2,1,6,1,Friday
2/2/19,2019,2,2,7,1,Saturday
2/3/19,2019,2,3,1,1,Sunday
2/4/19,2019,2,4,2,1,Monday
2/5/19,2019,2,5,3,1,Tuesday
2/6/19,2019,2,6,4,1,Wednesday
2/7/19,2019,2,7,5,1,Thursday
2/8/19,2019,2,8,6,1,Friday
2/9/19,2019,2,9,7,1,Saturday
2/10/19,2019,2,10,1,1,Sunday
2/11/19,2019,2,11,2,1,Monday
2/12/19,2019,2,12,3,1,Tuesday
2/13/19,2019,2,13,4,1,Wednesday
2/14/19,2019,2,14,5,1,Thursday
2/15/19,2019,2,15,6,1,Friday
2/16/19,2019,2,16,7,1,Saturday
