City,ZipCode,State
San Antonio,57993,TX
San Francisco,32627,CA
San Jose,83302,CA
Syracuse,27621,NY
Jacksonville,55947,FL
Tallahassee,51603,FL
St. Petersburg,75734,FL
San Antonio,43147,TX
Austin,32682,TX
Syracuse,10857,NY
San Antonio,60452,TX
El Paso,39540,TX
Allentown,43828,PA
Buffalo,58892,NY
Austin,29333,TX
Tampa,89688,FL
San Francisco,44202,CA
Fresno,31002,CA
Rochester,10194,NY
El Paso,89088,TX
San Francisco,35848,CA
Allentown,75547,PA
Fort Worth,88882,TX
San Francisco,15029,CA
Mount Vernon,63602,NY
Rochester,16555,NY
St. Petersburg,97897,FL
Dallas,63297,TX
Pittsburgh,66308,PA
Utica,77606,NY
San Antonio,35205,TX
Miami,85069,FL
Yonkers,65686,NY
Miami,79793,FL
Miami,96501,FL
Philadelphia,33559,PA
New Rochelle,83972,NY
San Jose,83229,CA
Jacksonville,71930,FL
San Jose,86725,CA
Orlando,3695,FL
Mount Vernon,46617,NY
El Paso,16864,TX
Austin,41675,TX
Utica,46849,NY
Fresno,71548,CA
Yonkers,35624,NY
San Antonio,53909,TX
New Rochelle,29577,NY
Mount Vernon,7212,NY
New Rochelle,36622,NY
Tallahassee,26930,FL
San Diego,76990,CA
Tallahassee,18218,FL
Fort Worth,99073,TX
Jacksonville,33786,FL
Buffalo,1641,NY
Pittsburgh,71780,PA
New Rochelle,44020,NY
Syracuse,50633,NY
Pittsburgh,66950,PA
San Diego,74710,CA
Allentown,68474,PA
Albany,4549,NY
Utica,92876,NY
Austin,5609,TX
Fresno,6376,CA
Mount Vernon,85245,NY
Houston,48986,TX
Albany,18100,NY
Syracuse,25996,NY
Rochester,16177,NY
Yonkers,56489,NY
Rochester,20136,NY
Utica,40632,NY
St. Petersburg,93053,FL
Philadelphia,45128,PA
Orlando,57113,FL
Utica,94498,NY
Dallas,58364,TX
Pittsburgh,72759,PA
St. Petersburg,99784,FL
Austin,35002,TX
San Jose,53562,CA
Jacksonville,6650,FL
Syracuse,48539,NY
